Area_name,Area_type,Average_2018_2019,Category,Count,Month,Type,Variation (%)
NHS Shetland,Health board,5,Home,8,2021-06-01,injurylocation,60
NHS Tayside,Health board,165.5,Home,206,2021-06-01,injurylocation,24.5
NHS Western Isles,Health board,6,Home,13,2021-06-01,injurylocation,116.7
NHS Ayrshire & Arran,Health board,210.5,Male,180,2021-06-01,sex,-14.5
NHS Borders,Health board,72.5,Male,55,2021-06-01,sex,-24.1
NHS Dumfries & Galloway,Health board,67.5,Male,82,2021-06-01,sex,21.5
NHS Fife,Health board,172,Male,170,2021-06-01,sex,-1.2
NHS Forth Valley,Health board,154.5,Male,168,2021-06-01,sex,8.7
NHS Grampian,Health board,245,Male,246,2021-06-01,sex,0.4
NHS Greater Glasgow & Clyde,Health board,653,Male,627,2021-06-01,sex,-4
NHS Highland,Health board,138.5,Male,143,2021-06-01,sex,3.2
NHS Lanarkshire,Health board,338.5,Male,331,2021-06-01,sex,-2.2
NHS Lothian,Health board,380.5,Male,370,2021-06-01,sex,-2.8
NHS Orkney,Health board,8.5,Male,8,2021-06-01,sex,-5.9
NHS Shetland,Health board,11,Male,7,2021-06-01,sex,-36.4
NHS Tayside,Health board,240.5,Male,240,2021-06-01,sex,-0.2
NHS Western Isles,Health board,20.5,Male,21,2021-06-01,sex,2.4
NHS Ayrshire & Arran,Health board,74,Other,72,2021-06-01,injurylocation,-2.7
NHS Borders,Health board,22,Other,8,2021-06-01,injurylocation,-63.6
NHS Dumfries & Galloway,Health board,38,Other,45,2021-06-01,injurylocation,18.4
NHS Fife,Health board,69,Other,67,2021-06-01,injurylocation,-2.9
NHS Forth Valley,Health board,40.5,Other,51,2021-06-01,injurylocation,25.9
NHS Grampian,Health board,95.5,Other,111,2021-06-01,injurylocation,16.2
NHS Greater Glasgow & Clyde,Health board,159,Other,148,2021-06-01,injurylocation,-6.9
NHS Highland,Health board,47,Other,40,2021-06-01,injurylocation,-14.9
NHS Lanarkshire,Health board,75.5,Other,117,2021-06-01,injurylocation,55
NHS Lothian,Health board,124,Other,148,2021-06-01,injurylocation,19.4
NHS Shetland,Health board,6.5,Other,6,2021-06-01,injurylocation,-7.7
NHS Tayside,Health board,81,Other,93,2021-06-01,injurylocation,14.8
NHS Western Isles,Health board,5,Other,5,2021-06-01,injurylocation,0
NHS Ayrshire & Arran,Health board,171.5,Undisclosed,138,2021-06-01,injurylocation,-19.5
NHS Borders,Health board,30.5,Undisclosed,31,2021-06-01,injurylocation,1.6
NHS Dumfries & Galloway,Health board,28.5,Undisclosed,29,2021-06-01,injurylocation,1.8
NHS Fife,Health board,124.5,Undisclosed,121,2021-06-01,injurylocation,-2.8
NHS Forth Valley,Health board,161,Undisclosed,164,2021-06-01,injurylocation,1.9
NHS Grampian,Health board,123,Undisclosed,102,2021-06-01,injurylocation,-17.1
NHS Greater Glasgow & Clyde,Health board,653.5,Undisclosed,706,2021-06-01,injurylocation,8
NHS Highland,Health board,122,Undisclosed,103,2021-06-01,injurylocation,-15.6
NHS Lanarkshire,Health board,339,Undisclosed,303,2021-06-01,injurylocation,-10.6
NHS Lothian,Health board,276.5,Undisclosed,215,2021-06-01,injurylocation,-22.2
NHS Shetland,Health board,7,Undisclosed,5,2021-06-01,injurylocation,-28.6
NHS Tayside,Health board,182,Undisclosed,115,2021-06-01,injurylocation,-36.8
NHS Western Isles,Health board,28,Undisclosed,19,2021-06-01,injurylocation,-32.1
Aberdeen City,HSC partnership,11.5,0-4,13,2021-06-01,age,13
Aberdeenshire,HSC partnership,12.5,0-4,14,2021-06-01,age,12
Angus,HSC partnership,6,0-4,8,2021-06-01,age,33.3
Dumfries & Galloway,HSC partnership,10,0-4,13,2021-06-01,age,30
Dundee City,HSC partnership,6,0-4,10,2021-06-01,age,66.7
East Ayrshire,HSC partnership,10.5,0-4,7,2021-06-01,age,-33.3
East Dunbartonshire,HSC partnership,5.5,0-4,6,2021-06-01,age,9.1
Edinburgh,HSC partnership,15,0-4,18,2021-06-01,age,20
Fife,HSC partnership,21,0-4,15,2021-06-01,age,-28.6
Glasgow City,HSC partnership,42.5,0-4,35,2021-06-01,age,-17.6
Moray,HSC partnership,5.5,0-4,6,2021-06-01,age,9.1
North Ayrshire,HSC partnership,12.5,0-4,5,2021-06-01,age,-60
North Lanarkshire,HSC partnership,19,0-4,24,2021-06-01,age,26.3
Perth & Kinross,HSC partnership,4.5,0-4,8,2021-06-01,age,77.8
Renfrewshire,HSC partnership,8,0-4,10,2021-06-01,age,25
South Lanarkshire,HSC partnership,13.5,0-4,13,2021-06-01,age,-3.7
West Dunbartonshire,HSC partnership,4.5,0-4,6,2021-06-01,age,33.3
West Lothian,HSC partnership,6.5,0-4,8,2021-06-01,age,23.1
Aberdeen City,HSC partnership,7.5,12-17,7,2021-06-01,age,-6.7
Aberdeenshire,HSC partnership,6,12-17,12,2021-06-01,age,100
Angus,HSC partnership,7.5,12-17,8,2021-06-01,age,6.7
Argyll & Bute,HSC partnership,5,12-17,9,2021-06-01,age,80
Clackmannanshire & Stirling,HSC partnership,6.5,12-17,5,2021-06-01,age,-23.1
Dumfries & Galloway,HSC partnership,6,12-17,6,2021-06-01,age,0
Dundee City,HSC partnership,8.5,12-17,7,2021-06-01,age,-17.6
East Ayrshire,HSC partnership,7.5,12-17,8,2021-06-01,age,6.7
East Dunbartonshire,HSC partnership,10.5,12-17,7,2021-06-01,age,-33.3
Edinburgh,HSC partnership,9.5,12-17,14,2021-06-01,age,47.4
Falkirk,HSC partnership,7,12-17,5,2021-06-01,age,-28.6
Fife,HSC partnership,15.5,12-17,12,2021-06-01,age,-22.6
Glasgow City,HSC partnership,29.5,12-17,24,2021-06-01,age,-18.6
North Ayrshire,HSC partnership,5.5,12-17,10,2021-06-01,age,81.8
North Lanarkshire,HSC partnership,12.5,12-17,9,2021-06-01,age,-28
Perth & Kinross,HSC partnership,4.5,12-17,11,2021-06-01,age,144.4
Renfrewshire,HSC partnership,9,12-17,9,2021-06-01,age,0
Scottish Borders,HSC partnership,6.5,12-17,10,2021-06-01,age,53.8
South Lanarkshire,HSC partnership,13.5,12-17,12,2021-06-01,age,-11.1
Aberdeen City,HSC partnership,12.5,18-24,11,2021-06-01,age,-12
Aberdeenshire,HSC partnership,12,18-24,8,2021-06-01,age,-33.3
Angus,HSC partnership,7,18-24,8,2021-06-01,age,14.3
Argyll & Bute,HSC partnership,4,18-24,10,2021-06-01,age,150
Clackmannanshire & Stirling,HSC partnership,11,18-24,11,2021-06-01,age,0
Dumfries & Galloway,HSC partnership,6,18-24,8,2021-06-01,age,33.3
Dundee City,HSC partnership,16,18-24,10,2021-06-01,age,-37.5
East Ayrshire,HSC partnership,9,18-24,5,2021-06-01,age,-44.4
East Dunbartonshire,HSC partnership,6.5,18-24,6,2021-06-01,age,-7.7
East Lothian,HSC partnership,7,18-24,9,2021-06-01,age,28.6
Edinburgh,HSC partnership,18.5,18-24,21,2021-06-01,age,13.5
Falkirk,HSC partnership,5.5,18-24,9,2021-06-01,age,63.6
Fife,HSC partnership,15,18-24,14,2021-06-01,age,-6.7
Glasgow City,HSC partnership,37,18-24,49,2021-06-01,age,32.4
Highland,HSC partnership,10.5,18-24,13,2021-06-01,age,23.8
Inverclyde,HSC partnership,3.5,18-24,7,2021-06-01,age,100
North Ayrshire,HSC partnership,7.5,18-24,7,2021-06-01,age,-6.7
North Lanarkshire,HSC partnership,16,18-24,16,2021-06-01,age,0
Renfrewshire,HSC partnership,7,18-24,9,2021-06-01,age,28.6
South Lanarkshire,HSC partnership,11,18-24,11,2021-06-01,age,0
West Dunbartonshire,HSC partnership,3,18-24,5,2021-06-01,age,66.7
West Lothian,HSC partnership,12.5,18-24,8,2021-06-01,age,-36
Aberdeen City,HSC partnership,35.5,25-44,26,2021-06-01,age,-26.8
Aberdeenshire,HSC partnership,21,25-44,26,2021-06-01,age,23.8
Angus,HSC partnership,20,25-44,18,2021-06-01,age,-10
Argyll & Bute,HSC partnership,14,25-44,17,2021-06-01,age,21.4
Clackmannanshire & Stirling,HSC partnership,22,25-44,29,2021-06-01,age,31.8
Dumfries & Galloway,HSC partnership,15,25-44,14,2021-06-01,age,-6.7
Dundee City,HSC partnership,31.5,25-44,35,2021-06-01,age,11.1
East Ayrshire,HSC partnership,19.5,25-44,18,2021-06-01,age,-7.7
East Dunbartonshire,HSC partnership,10,25-44,11,2021-06-01,age,10
East Lothian,HSC partnership,17,25-44,16,2021-06-01,age,-5.9
Edinburgh,HSC partnership,64,25-44,64,2021-06-01,age,0
Falkirk,HSC partnership,23.5,25-44,29,2021-06-01,age,23.4
Fife,HSC partnership,48,25-44,56,2021-06-01,age,16.7
Glasgow City,HSC partnership,122.5,25-44,139,2021-06-01,age,13.5
Highland,HSC partnership,26,25-44,21,2021-06-01,age,-19.2
Inverclyde,HSC partnership,15,25-44,16,2021-06-01,age,6.7
Midlothian,HSC partnership,11,25-44,18,2021-06-01,age,63.6
Moray,HSC partnership,13,25-44,13,2021-06-01,age,0
North Ayrshire,HSC partnership,18,25-44,24,2021-06-01,age,33.3
North Lanarkshire,HSC partnership,55,25-44,73,2021-06-01,age,32.7
Perth & Kinross,HSC partnership,24.5,25-44,21,2021-06-01,age,-14.3
Renfrewshire,HSC partnership,27.5,25-44,31,2021-06-01,age,12.7
Scottish Borders,HSC partnership,13.5,25-44,8,2021-06-01,age,-40.7
South Ayrshire,HSC partnership,14,25-44,16,2021-06-01,age,14.3
South Lanarkshire,HSC partnership,47.5,25-44,33,2021-06-01,age,-30.5
West Dunbartonshire,HSC partnership,11.5,25-44,22,2021-06-01,age,91.3
West Lothian,HSC partnership,38,25-44,31,2021-06-01,age,-18.4
Western Isles,HSC partnership,4,25-44,5,2021-06-01,age,25
Aberdeen City,HSC partnership,34.5,45-64,37,2021-06-01,age,7.2
Aberdeenshire,HSC partnership,39,45-64,41,2021-06-01,age,5.1
Angus,HSC partnership,20.5,45-64,29,2021-06-01,age,41.5
Argyll & Bute,HSC partnership,22,45-64,21,2021-06-01,age,-4.5
Clackmannanshire & Stirling,HSC partnership,28.5,45-64,30,2021-06-01,age,5.3
Dumfries & Galloway,HSC partnership,27,45-64,26,2021-06-01,age,-3.7
Dundee City,HSC partnership,27.5,45-64,44,2021-06-01,age,60
East Ayrshire,HSC partnership,30,45-64,21,2021-06-01,age,-30
East Dunbartonshire,HSC partnership,18.5,45-64,21,2021-06-01,age,13.5
East Lothian,HSC partnership,14,45-64,18,2021-06-01,age,28.6
East Renfrewshire,HSC partnership,15,45-64,9,2021-06-01,age,-40
Edinburgh,HSC partnership,80.5,45-64,100,2021-06-01,age,24.2
Falkirk,HSC partnership,35.5,45-64,30,2021-06-01,age,-15.5
Fife,HSC partnership,61,45-64,73,2021-06-01,age,19.7
Glasgow City,HSC partnership,170,45-64,179,2021-06-01,age,5.3
Highland,HSC partnership,34,45-64,30,2021-06-01,age,-11.8
Inverclyde,HSC partnership,14,45-64,16,2021-06-01,age,14.3
Midlothian,HSC partnership,15,45-64,16,2021-06-01,age,6.7
Moray,HSC partnership,17.5,45-64,28,2021-06-01,age,60
North Ayrshire,HSC partnership,28.5,45-64,36,2021-06-01,age,26.3
North Lanarkshire,HSC partnership,62.5,45-64,68,2021-06-01,age,8.8
Perth & Kinross,HSC partnership,29.5,45-64,23,2021-06-01,age,-22
Renfrewshire,HSC partnership,31.5,45-64,39,2021-06-01,age,23.8
Scottish Borders,HSC partnership,30,45-64,18,2021-06-01,age,-40
South Ayrshire,HSC partnership,23.5,45-64,19,2021-06-01,age,-19.1
South Lanarkshire,HSC partnership,72,45-64,61,2021-06-01,age,-15.3
West Dunbartonshire,HSC partnership,29.5,45-64,21,2021-06-01,age,-28.8
West Lothian,HSC partnership,32.5,45-64,41,2021-06-01,age,26.2
Western Isles,HSC partnership,8.5,45-64,10,2021-06-01,age,17.6
Aberdeen City,HSC partnership,16.5,5-11,11,2021-06-01,age,-33.3
Aberdeenshire,HSC partnership,16,5-11,14,2021-06-01,age,-12.5
Argyll & Bute,HSC partnership,7,5-11,6,2021-06-01,age,-14.3
Clackmannanshire & Stirling,HSC partnership,11.5,5-11,11,2021-06-01,age,-4.3
Dumfries & Galloway,HSC partnership,9,5-11,11,2021-06-01,age,22.2
Dundee City,HSC partnership,9,5-11,6,2021-06-01,age,-33.3
East Ayrshire,HSC partnership,13,5-11,10,2021-06-01,age,-23.1
East Dunbartonshire,HSC partnership,5.5,5-11,8,2021-06-01,age,45.5
Edinburgh,HSC partnership,18,5-11,17,2021-06-01,age,-5.6
Falkirk,HSC partnership,15,5-11,13,2021-06-01,age,-13.3
Fife,HSC partnership,23,5-11,14,2021-06-01,age,-39.1
Glasgow City,HSC partnership,57.5,5-11,47,2021-06-01,age,-18.3
Highland,HSC partnership,10,5-11,10,2021-06-01,age,0
Inverclyde,HSC partnership,7,5-11,5,2021-06-01,age,-28.6
Midlothian,HSC partnership,4,5-11,8,2021-06-01,age,100
Moray,HSC partnership,3,5-11,6,2021-06-01,age,100
North Ayrshire,HSC partnership,9.5,5-11,7,2021-06-01,age,-26.3
North Lanarkshire,HSC partnership,30,5-11,37,2021-06-01,age,23.3
Perth & Kinross,HSC partnership,13,5-11,12,2021-06-01,age,-7.7
Renfrewshire,HSC partnership,19,5-11,7,2021-06-01,age,-63.2
Scottish Borders,HSC partnership,7.5,5-11,11,2021-06-01,age,46.7
South Ayrshire,HSC partnership,7.5,5-11,9,2021-06-01,age,20
South Lanarkshire,HSC partnership,29.5,5-11,21,2021-06-01,age,-28.8
West Lothian,HSC partnership,11.5,5-11,10,2021-06-01,age,-13
Aberdeen City,HSC partnership,25.5,65-79,28,2021-06-01,age,9.8
Aberdeenshire,HSC partnership,37.5,65-79,42,2021-06-01,age,12
Angus,HSC partnership,31.5,65-79,24,2021-06-01,age,-23.8
Argyll & Bute,HSC partnership,32,65-79,21,2021-06-01,age,-34.4
Clackmannanshire & Stirling,HSC partnership,25,65-79,34,2021-06-01,age,36
